,user_id,gender,ratings_count,reviews_count,year_joined,young_age,location,friends,fav_genres,groups_count,2018,avg_page_18,2019,avg_page_19,2020,avg_page_20,fav_genres2,category,category_simplified,total_page,challenge_completed
81,82,1,71,3,2013,1,EU,290,"['Business', 'Classics', 'Fantasy', 'Fiction', 'Historical fiction', 'Non-fiction', 'Philosophy', 'Romance', 'Science fiction', 'Suspense']",1,0,280,0,424,1,195,"['Business', 'Classics', 'Fiction', 'Fiction', 'Fiction', 'Non-fiction', 'Philosophy', 'Romance', 'Fiction', 'Thriller']","{'Fiction', 'Non-fiction'}",0,899,1
82,83,1,1049,788,2012,1,Asia,971,"['Contemporary', 'Fantasy', 'Manga', 'Music', 'Mystery', 'Non-fiction', 'Science fiction', 'Travel']",2,1,207,1,157,1,157,"['Fiction', 'Fiction', 'Comics', 'Art', 'Thriller', 'Non-fiction', 'Fiction', 'Travel']","{'Fiction', 'Non-fiction'}",1,521,3
83,84,1,199,4,2012,0,USA,66,"['Adult Fiction', 'Book Club', 'Cookbooks', 'Fantasy', 'Fiction', 'Horror', 'Literary Fiction', 'Mystery', 'Non-fiction', 'Science fiction', 'Thriller']",0,0,364,0,317,1,354,"['Fiction', 'Fiction', 'Fiction', 'Horror', 'Fiction', 'Thriller', 'Non-fiction', 'Fiction', 'Thriller']","{'Fiction', 'Non-fiction'}",1,1035,1
84,85,1,768,339,2010,1,Asia,808,"['Adult Fiction', 'Art', 'Book Club', ""Children's"", 'Classics', 'Contemporary', 'Ebooks', 'Fiction', 'Historical fiction', 'History', 'Literary Fiction', 'Memoir', 'Mystery', 'Non-fiction', 'Philosophy']",6,1,200,1,195,1,193,"['Fiction', ""Children's"", 'Classics', 'Fiction', 'Fiction', 'Fiction', 'History', 'Fiction', 'Biography', 'Thriller', 'Non-fiction', 'Philosophy']","{'Fiction', 'Non-fiction'}",1,588,3
85,86,0,24,0,2013,1,EU,41,"['Classics', 'Contemporary', 'Philosophy', 'Science fiction']",0,0,243,0,256,0,337,"['Classics', 'Fiction', 'Philosophy', 'Fiction']","{'Fiction', 'Non-fiction'}",1,836,0
86,87,0,84,28,2018,1,EU,12,"['Biography', 'Business', ""Children's"", 'Fiction', 'Historical fiction', 'History', 'Humor Comedy', 'Mystery', 'Non-fiction', 'Romance', 'Science fiction', 'Thriller']",0,0,157,0,322,1,347,"['Biography', 'Business', ""Children's"", 'Fiction', 'Fiction', 'History', 'Humor Comedy', 'Thriller', 'Non-fiction', 'Romance', 'Fiction', 'Thriller']","{'Fiction', 'Non-fiction'}",0,826,1
87,88,0,76,16,2018,0,USA,6,"['Biography', 'Business', 'Comics', 'Crime', 'Fantasy', 'Fiction', 'Graphic novels', 'Humor Comedy', 'Non-fiction', 'Science', 'Science fiction', 'Thriller', 'Young-adult']",0,0,297,0,107,0,234,"['Biography', 'Business', 'Comics', 'Thriller', 'Fiction', 'Fiction', 'Comics', 'Humor Comedy', 'Non-fiction', 'Science', 'Fiction', 'Thriller', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,638,0
88,89,0,689,609,2013,1,Asia,289,"['Business', 'Comics', 'Non-fiction']",3,0,263,0,199,1,227,"['Business', 'Comics', 'Non-fiction']","{'Fiction', 'Non-fiction'}",0,689,1
89,90,0,700,688,2012,1,Asia,385,"['Fantasy', 'Fiction', 'Science', 'Science fiction']",9,1,182,1,174,1,212,"['Fiction', 'Fiction', 'Science', 'Fiction']","{'Fiction', 'Non-fiction'}",1,568,3
90,91,1,166,15,2014,1,Asia,174,"['Fiction', 'Historical fiction', 'Non-fiction', 'Poetry', 'Romance', 'Young-adult']",3,0,245,0,237,0,352,"['Fiction', 'Fiction', 'Non-fiction', 'Romance', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,834,0
91,92,1,528,291,2009,1,USA,619,"['Book Club', 'Classics', 'Fantasy', 'Fiction', 'Manga', 'Paranormal', 'Science fiction', 'Travel', 'Young-adult', 'youn-adult-paranormal-romance', 'young adult romance', 'young adult fantasy']",4,1,390,1,345,1,307,"['Classics', 'Fiction', 'Fiction', 'Comics', 'Horror', 'Fiction', 'Travel', 'Young-adult', 'youn-adult-paranormal-romance', 'young adult romance', 'young adult fantasy']","{'Fiction', 'Non-fiction'}",1,1042,3
92,93,1,371,217,2015,0,USA,161,"['Fiction', 'Mystery', 'Science fiction', 'Thriller', 'Young-adult', 'young-adult-romance']",1,0,343,0,306,0,385,"['Fiction', 'Thriller', 'Fiction', 'Thriller', 'Young-adult', 'young-adult-romance']",{'Fiction'},1,1034,0
93,94,1,404,95,2012,0,USA,198,"['Adult Fiction', 'Book Club', 'Fiction', 'Historical fiction', 'Suspense', 'Thriller', 'Young-adult', ""Women's Fiction""]",3,1,347,0,358,0,352,"['Fiction', 'Fiction', 'Fiction', 'Thriller', 'Thriller', 'Young-adult', 'Fiction']",{'Fiction'},1,1057,1
94,95,1,745,148,2014,0,USA,533,"['Art', 'Biography', 'Business', 'Chick-lit', ""Children's"", 'Classics', 'Comics', 'Contemporary', 'Cookbooks', 'Fantasy', 'Fiction', 'Graphic novels', 'Historical fiction', 'History', 'Humor Comedy', 'Memoir', 'Mystery', 'Non-fiction', 'Philosophy', 'Psychology', 'Romance', 'Science', 'Science fiction', 'Self help', 'Suspense', 'Thriller', 'Travel', 'Young-adult']",4,1,310,1,324,1,291,"['Biography', 'Business', 'Romance', ""Children's"", 'Classics', 'Comics', 'Fiction', 'Fiction', 'Fiction', 'Comics', 'Fiction', 'History', 'Humor Comedy', 'Biography', 'Thriller', 'Non-fiction', 'Philosophy', 'Psychology', 'Romance', 'Science', 'Fiction', 'Self help', 'Thriller', 'Thriller', 'Travel', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,925,3
95,96,0,573,413,2012,1,Asia,408,"['Adult Fiction', 'Book Club', 'Comics', 'Fantasy', 'Fiction', 'Historical fiction', 'Horror', 'Literary Fiction', 'Manga', 'Mystery', 'Paranormal', 'Romance', 'Suspense', 'Thriller', 'Young-adult', ""Women's Fiction""]",5,0,381,0,263,0,319,"['Fiction', 'Comics', 'Fiction', 'Fiction', 'Fiction', 'Horror', 'Fiction', 'Comics', 'Thriller', 'Horror', 'Romance', 'Thriller', 'Thriller', 'Young-adult', 'Fiction']",{'Fiction'},1,963,0
96,97,0,202,30,2012,1,Asia,364,"['Classics', 'Fiction', 'Memoir', 'Philosophy', 'Poetry', 'Psychology']",3,1,271,1,280,1,274,"['Classics', 'Fiction', 'Biography', 'Philosophy', 'Psychology']","{'Fiction', 'Non-fiction'}",1,825,3
97,98,0,36,0,2018,1,Asia,17,"['Classics', 'History', 'Non-fiction', 'Philosophy', 'Psychology', 'Science', 'Self help']",0,0,303,0,298,0,328,"['Classics', 'History', 'Non-fiction', 'Philosophy', 'Psychology', 'Science', 'Self help']","{'Fiction', 'Non-fiction'}",1,929,0
98,99,0,1121,1034,2012,0,Asia,537,"['Fantasy', 'Fiction', 'Romance', 'Young-adult', 'War']",6,1,317,1,269,1,250,"['Fiction', 'Fiction', 'Romance', 'Young-adult', 'War']","{'Fiction', 'Non-fiction'}",1,836,3
99,100,0,91,0,2013,1,Asia,170,"['Fantasy', 'Fiction', 'History', 'Horror', 'Mystery', 'Non-fiction', 'Philosophy', 'Romance', 'Science', 'Science fiction', 'Thriller']",0,0,354,0,398,1,390,"['Fiction', 'Fiction', 'History', 'Horror', 'Thriller', 'Non-fiction', 'Philosophy', 'Romance', 'Science', 'Fiction', 'Thriller']","{'Fiction', 'Non-fiction'}",1,1142,1
